Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.10-192.168.10.20-22-60502-6,192.168.10.20,60502,192.168.10.10,22,6,24/05/2022 07:30:36 AM,14896332,19,25,1686.0,2092.0,976.0,0.0,88.74,218.03,1080.0,0.0,83.68,232.86,253.62,2.95,346426.33,927614.16,3709929.0,0.0,14895809.0,827544.94,1308073.94,3718348.0,0.0,14895993.0,620666.38,1180543.41,3709929.0,71.0,0,0,0,0,608,816,1.28,1.68,0.0,1080.0,83.96,221.8,49193.91,0,1,0,0,0,0,0,0,1.0,85.86,88.74,83.68,0,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60500-6,192.168.10.20,60500,192.168.10.10,22,6,24/05/2022 07:30:36 AM,14906540,17,24,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,87.17,237.2,253.45,2.75,372663.5,955211.28,3710175.0,53.0,14906274.0,931642.12,1355461.63,3719617.0,288.0,14906325.0,648101.09,1196188.34,3710175.0,196.0,0,0,0,0,544,784,1.14,1.61,0.0,1080.0,89.95,228.56,52240.88,0,1,0,0,0,0,0,0,1.0,92.15,99.18,87.17,0,0,0,0,0,0,17,1686,24,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60476-6,192.168.10.20,60476,192.168.10.10,22,6,24/05/2022 07:30:34 AM,16722311,19,25,1686.0,2092.0,976.0,0.0,88.74,218.03,1080.0,0.0,83.68,232.86,225.93,2.63,388890.95,1036443.37,3710128.0,38.0,16721873.0,928992.94,1457260.7,3710662.0,38.0,16722042.0,696751.75,1318250.97,3710128.0,134.0,0,0,0,0,608,816,1.14,1.5,0.0,1080.0,83.96,221.8,49193.91,0,1,0,0,0,0,0,0,1.0,85.86,88.74,83.68,0,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60480-6,192.168.10.20,60480,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20442195,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,184.81,2.05,498590.12,1245681.49,3710328.0,73.0,20441841.0,1277615.06,1754300.96,3710815.0,108.0,20441923.0,851746.79,1544271.75,3710328.0,113.0,0,0,0,0,544,816,0.83,1.22,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60478-6,192.168.10.20,60478,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20453207,18,25,1686.0,2092.0,976.0,0.0,93.67,223.26,1080.0,0.0,83.68,232.86,184.71,2.1,486981.12,1232688.83,3710582.0,90.0,20452910.0,1203112.35,1726677.88,3714022.0,251.0,20452904.0,852204.33,1544001.96,3710582.0,184.0,0,0,0,0,576,816,0.88,1.22,0.0,1080.0,85.86,223.99,50170.31,0,1,0,0,0,0,0,0,1.0,87.86,93.67,83.68,0,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60482-6,192.168.10.20,60482,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20461879,18,25,1686.0,2092.0,976.0,0.0,93.67,223.26,1080.0,0.0,83.68,232.86,184.64,2.1,487187.6,1233133.72,3716969.0,102.0,20461572.0,1203621.88,1726726.17,3717416.0,140.0,20461638.0,852568.25,1544544.45,3716969.0,168.0,0,0,0,0,576,816,0.88,1.22,0.0,1080.0,85.86,223.99,50170.31,0,1,0,0,0,0,0,0,1.0,87.86,93.67,83.68,0,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60484-6,192.168.10.20,60484,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20499407,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,184.3,2.05,499985.54,1245213.29,3710583.0,55.0,20499130.0,1281195.62,1751728.48,3711167.0,135.0,20499254.0,854135.58,1543042.05,3710583.0,99.0,0,0,0,0,544,816,0.83,1.22,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60486-6,192.168.10.20,60486,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20502717,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,184.27,2.05,500066.27,1245223.33,3711392.0,53.0,20502400.0,1281400.0,1753234.66,3722586.0,170.0,20502406.0,854266.92,1543026.97,3711392.0,120.0,0,0,0,0,544,816,0.83,1.22,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60490-6,192.168.10.20,60490,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20499378,17,24,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,87.17,237.2,184.3,2.0,512484.45,1255149.93,3710269.0,75.0,20499145.0,1281196.56,1752758.62,3716992.0,217.0,20498865.0,891255.0,1562001.27,3710269.0,123.0,0,0,0,0,544,784,0.83,1.17,0.0,1080.0,89.95,228.56,52240.88,0,1,0,0,0,0,0,0,1.0,92.15,99.18,87.17,0,0,0,0,0,0,17,1686,24,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.10.10-192.168.10.20-22-60492-6,192.168.10.20,60492,192.168.10.10,22,6,24/05/2022 07:30:34 AM,20499132,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,184.3,2.05,499978.83,1242123.97,3710623.0,108.0,20498897.0,1281181.06,1753105.67,3719346.0,229.0,20498975.0,854123.96,1538708.9,3710623.0,116.0,0,0,0,0,544,816,0.83,1.22,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
