Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
5,192.168.10.20,53836,192.168.10.10,22,6,0,14879633,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,253,2,362917.8780487805,947359.1532107608,3710272.0,0.0,14879401.0,929962.5625,1353546.3575960728,3710673.0,210.0,14879406.0,619975.25,1180913.3897074258,3710272.0,145.0,0,0,0,0,544,816,1.1425012969069872,1.6801489660396869,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
6,192.168.10.20,53838,192.168.10.10,22,6,1,14869139,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,254,2,354027.11904761905,937515.1727462723,3710245.0,54.0,14868802.0,874635.4117647059,1330224.9456806195,3710870.0,176.0,14868830.0,619534.5833333333,1181168.329758034,3710245.0,164.0,0,0,0,0,576,816,1.210561014998918,1.6813347430540533,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
1,192.168.10.20,53828,192.168.10.10,22,6,0,16724932,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,407925.1707317072,1058323.3991243157,3710318.0,78.0,16724637.0,1045289.8125,1509089.8648136768,3710814.0,191.0,16724588.0,696857.8333333335,1318263.0048414886,3710318.0,129.0,0,0,0,0,544,816,1.0164465840578605,1.4947743883203832,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
2,192.168.10.20,53830,192.168.10.10,22,6,0,16723079,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,398168.5476190476,1047230.3927161862,3710556.0,0.0,16722784.0,983693.1764705881,1482999.3158649902,3710937.0,126.0,16722877.0,696786.5416666667,1318277.5622394544,3710556.0,0.0,0,0,0,0,576,816,1.0763568120440024,1.4949400167277809,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
3,192.168.10.20,53832,192.168.10.10,22,6,0,16723761,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,388924.6744186046,1036456.07578048,3710284.0,0.0,16723383.0,929076.8333333335,1457288.9947940703,3710846.0,57.0,16723420.0,696809.1666666665,1318256.1379966657,3710284.0,154.0,0,0,0,0,608,816,1.1361080799946854,1.4948790526245859,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
4,192.168.10.20,53834,192.168.10.10,22,6,0,18589088,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,203,2,453392.3902439024,1156762.2889184249,3710616.0,0.0,18588816.0,1161801.0,1640601.575844625,3711031.0,139.0,18588854.0,774535.5833333335,1437908.862019665,3710616.0,170.0,0,0,0,0,544,816,0.9145150100962456,1.3448750148474202,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
7,192.168.10.20,53840,192.168.10.10,22,6,2,16727506,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,407987.9512195122,1058334.520231882,3710641.0,95.0,16727048.0,1045440.5,1509051.3883723996,3711160.0,174.0,16727184.0,696966.0,1318253.5570737058,3710641.0,149.0,0,0,0,0,544,816,1.0162901749967983,1.494544374995292,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
8,192.168.10.20,53842,192.168.10.10,22,6,3,16739308,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,389286.23255813954,1036367.4883367716,3711162.0,0.0,16738925.0,929940.277777778,1456903.9961607063,3712471.0,52.0,16738966.0,697456.9166666665,1317971.033186532,3711162.0,55.0,0,0,0,0,608,816,1.1350528946596836,1.4934906508680048,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
9,192.168.10.20,53844,192.168.10.10,22,6,3,16740645,17,25,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,408308.4146341463,1058157.5346831155,3710632.0,0.0,16740255.0,1046265.9375,1508479.130350587,3711104.0,258.0,16740435.0,697518.1249999999,1317878.500579437,3710632.0,216.0,0,0,0,0,544,816,1.015492533292475,1.4933713724889333,0.0,1080.0,87.86046511627907,226.2415040651985,51185.21816168324,0,1,0,0,0,0,0,0,1.0,89.95238095238096,99.17647058823529,83.68,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
10,192.168.10.20,53846,192.168.10.10,22,6,3,16734875,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,398449.4047619048,1047405.2294977908,3710287.0,0.0,16734673.0,984392.5294117648,1483026.3998729137,3710866.0,202.0,16734621.0,697275.875,1318410.2255669534,3710287.0,0.0,0,0,0,0,576,816,1.075598114715527,1.4938862704382316,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
