Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.10-192.168.10.20-22-59066-6,192.168.10.20,59066,192.168.10.10,22,6,24/05/2022 06:57:55 AM,22975,13,13,1234.0,1748.0,976.0,0.0,94.92,265.91,1080.0,0.0,134.46,318.96,129793.25,1131.66,919.0,2077.73,7630.0,88.0,22601.0,1883.42,2930.0,7997.0,88.0,22641.0,1886.75,2749.43,7630.0,124.0,0,0,0,0,416,432,565.83,565.83,0.0,1080.0,110.44,283.67,80467.79,0,1,0,0,0,0,0,0,1.0,114.69,94.92,134.46,0,0,0,0,0,0,13,1234,13,1748,-1,502,7,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59068-6,192.168.10.20,59068,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18762645,18,25,1686.0,2092.0,976.0,0.0,93.67,223.26,1080.0,0.0,83.68,232.86,201.36,2.29,446729.64,1143142.62,3710563.0,54.0,18762376.0,1103669.18,1606105.86,3711411.0,226.0,18762335.0,781763.96,1433934.88,3710563.0,215.0,0,0,0,0,576,816,0.96,1.33,0.0,1080.0,85.86,223.99,50170.31,0,1,0,0,0,0,0,0,1.0,87.86,93.67,83.68,0,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59074-6,192.168.10.20,59074,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18772288,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.25,2.24,457860.68,1155066.53,3710769.0,0.0,18771870.0,1173241.88,1633274.01,3718078.0,276.0,18772013.0,782167.21,1433745.35,3710769.0,282.0,0,0,0,0,544,816,0.91,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59078-6,192.168.10.20,59078,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18771988,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.26,2.24,457853.37,1154994.78,3710428.0,0.0,18771638.0,1173227.38,1632374.15,3712117.0,295.0,18771799.0,782158.29,1433645.74,3710428.0,176.0,0,0,0,0,544,816,0.91,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59070-6,192.168.10.20,59070,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18784556,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.12,2.24,458159.9,1154921.56,3710668.0,0.0,18784224.0,1174014.0,1632868.65,3718959.0,260.0,18784342.0,782680.92,1433420.12,3710668.0,171.0,0,0,0,0,544,816,0.9,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59076-6,192.168.10.20,59076,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18783912,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.13,2.24,458144.2,1154939.65,3710608.0,61.0,18783658.0,1173978.62,1633798.75,3719109.0,115.0,18783654.0,782652.25,1433453.56,3710608.0,137.0,0,0,0,0,544,816,0.91,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59072-6,192.168.10.20,59072,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18785321,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.11,2.24,458178.56,1155285.31,3715181.0,53.0,18785103.0,1174068.94,1633424.76,3722461.0,224.0,18785139.0,782714.12,1433921.58,3715181.0,107.0,0,0,0,0,544,816,0.9,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59092-6,192.168.10.20,59092,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18790666,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.06,2.24,458308.93,1154746.89,3709835.0,96.0,18790420.0,1174401.25,1631721.63,3712394.0,304.0,18790424.0,782934.33,1433115.82,3709835.0,119.0,0,0,0,0,544,816,0.9,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59102-6,192.168.10.20,59102,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18786955,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,201.1,2.24,458218.41,1154878.68,3710435.0,88.0,18786707.0,1174169.19,1631889.77,3711387.0,186.0,18786808.0,782783.67,1433334.79,3710435.0,135.0,0,0,0,0,544,816,0.9,1.33,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-59080-6,192.168.10.20,59080,192.168.10.10,22,6,24/05/2022 06:57:55 AM,18803858,19,25,1686.0,2092.0,976.0,0.0,88.74,218.03,1080.0,0.0,83.68,232.86,200.92,2.34,437299.02,1131172.0,3710216.0,55.0,18803597.0,1044644.28,1579709.41,3719601.0,159.0,18803666.0,783486.08,1433020.67,3710216.0,99.0,0,0,0,0,608,816,1.01,1.33,0.0,1080.0,83.96,221.8,49193.91,0,1,0,0,0,0,0,0,1.0,85.86,88.74,83.68,0,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
