Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
2,1,34318,3,80,6,0,1522842,4,4,213.0,109.0,213.0,0.0,53.25,106.5,109.0,0.0,27.25,54.5,211,5,217548.85714285716,383584.40456107724,1050231.0,174.0,1287831.0,429277.0,550651.1117177554,1050231.0,357.0,472437.0,157479.0,135519.45355925846,236611.0,998.0,0,0,0,0,80,104,2.62666776986713,2.62666776986713,0.0,213.0,35.77777777777778,75.60551861104084,5716.194444444444,0,1,0,0,0,0,0,0,1.0,40.25,53.25,27.25,0,0,0,0,0,4,213,4,109,-1,64240,1,0,0,0,0,0,0,0,0,0,0
0,1,42228,0,443,6,0,1499770,12,11,739.0,9382.0,391.0,0.0,61.58333333333334,125.40658119118231,2824.0,0.0,852.909090909091,1076.605819652249,6748,15,68171.36363636362,252743.26218960306,1187989.0,0.0,1433313.0,130301.1818181818,353947.41996116255,1187989.0,39.0,311322.0,31132.2,50233.490850892165,146556.0,348.0,0,0,0,0,240,244,8.0012268547844,7.334457950219034,0.0,2824.0,421.70833333333326,822.0649757016548,675790.8242753623,0,1,0,0,0,0,0,0,0.0,440.0434782608696,61.58333333333334,852.9090909090909,0,0,0,0,0,12,739,11,9382,-1,64240,5,0,0,0,0,0,0,0,0,0,0
20,1,59678,6,80,6,0,1549764,37,39,228.0,110648.0,228.0,0.0,6.162162162162162,37.482969105621464,14120.0,0.0,2837.128205128205,3646.268858490013,71543,49,20663.519999999997,67216.07451896799,322543.0,0.0,1281288.0,35591.333333333336,84407.01926701864,322673.0,171.0,1464369.0,38536.026315789466,90484.39455761832,322636.0,104.0,0,0,0,0,740,804,23.874602842755408,25.16512191533679,0.0,14120.0,1439.9480519480521,2945.869936279676,8678149.68147642,0,1,0,0,0,0,0,0,1.0,1458.8947368421052,6.162162162162162,2837.128205128205,0,0,0,0,0,37,228,39,110648,-1,64240,1,0,0,0,0,0,0,0,0,0,0
18,1,33916,5,80,6,0,1358492,4,4,208.0,126.0,208.0,0.0,52.00000000000001,104.0,126.0,0.0,31.5,63.0,245,5,194070.28571428574,304065.0203978936,821406.0,156.0,1088920.0,362973.33333333343,418834.5092949402,821406.0,333.0,536928.0,178976.0,154226.43536047894,269416.0,898.0,0,0,0,0,80,104,2.9444413364230337,2.9444413364230337,0.0,208.0,37.111111111111114,76.44024536270872,5843.11111111111,0,1,0,0,0,0,0,0,1.0,41.75,52.0,31.5,0,0,0,0,0,4,208,4,126,-1,64240,1,0,0,0,0,0,0,0,0,0,0
19,1,59676,6,80,6,0,1600979,91,94,667.0,210106.0,230.0,0.0,7.329670329670328,39.960551365636405,22100.0,0.0,2235.170212765958,3012.1561121287127,131652,115,8700.972826086954,36233.02367356763,287284.0,0.0,1442611.0,16029.011111111111,48213.748279947315,287284.0,1.0,1313524.0,14123.913978494616,40818.20423500745,160477.0,75.0,0,0,0,0,1820,1904,56.84022088984303,58.714074325771925,0.0,22100.0,1133.18817204301,2410.2513723496545,5809311.677913394,0,1,0,0,0,0,0,0,1.0,1139.3135135135135,7.329670329670329,2235.1702127659573,0,0,0,0,0,91,667,94,210106,-1,64240,3,0,0,0,0,0,0,0,0,0,0
2,2,80,2,34318,6,1,233777,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,233777.0,0.0,233777.0,233777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,4.277580771418916,4.277580771418916,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
0,0,443,2,42228,6,1,237150,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,118575.0,167072.3618316327,236713.0,437.0,236713.0,236713.0,0.0,236713.0,236713.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8.433480919249421,4.2167404596247104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,0
19,4,80,2,59676,6,1,329077,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,329077.0,0.0,329077.0,329077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,3.0388024687231256,3.0388024687231256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
18,3,80,2,33916,6,1,438345,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,438345.0,0.0,438345.0,438345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2.2813081020657244,2.2813081020657244,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
20,4,80,2,59678,6,1,439642,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,439642.0,0.0,439642.0,439642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2.2745779520609952,2.2745779520609952,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
