Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
192.168.10.10-192.168.10.20-22-60244-6,192.168.10.20,60244,192.168.10.10,22,6,24/05/2022 07:25:48 AM,24004,12,13,1234.0,1748.0,976.0,0.0,102.83,276.13,1080.0,0.0,134.46,318.96,124229.3,1041.49,1000.17,2281.28,8490.0,53.0,23622.0,2147.45,3280.75,8949.0,98.0,23655.0,1971.25,2983.49,8490.0,184.0,0,0,0,0,384,432,499.92,541.58,0.0,1080.0,114.69,288.41,83179.82,0,1,0,0,0,0,0,0,1.0,119.28,102.83,134.46,0,0,0,0,0,0,12,1234,13,1748,-1,502,7,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60246-6,192.168.10.20,60246,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15071597,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,250.67,2.79,367599.93,945759.09,3710507.0,55.0,15071202.0,941950.12,1345100.74,3711094.0,277.0,15071355.0,627973.12,1176847.82,3710507.0,187.0,0,0,0,0,544,816,1.13,1.66,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60250-6,192.168.10.20,60250,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15081665,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,250.5,2.78,367845.49,945574.33,3709754.0,71.0,15081431.0,942589.44,1344963.21,3713020.0,237.0,15081389.0,628391.21,1176493.48,3709754.0,102.0,0,0,0,0,544,816,1.13,1.66,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60248-6,192.168.10.20,60248,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15092608,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,250.32,2.78,368112.39,945622.84,3710452.0,50.0,15092386.0,943274.12,1347897.42,3720991.0,275.0,15092421.0,628850.88,1176453.9,3710452.0,105.0,0,0,0,0,544,816,1.13,1.66,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60254-6,192.168.10.20,60254,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15091880,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,250.33,2.78,368094.63,945437.95,3709639.0,72.0,15091656.0,943228.5,1347386.5,3720478.0,299.0,15091702.0,628820.92,1176202.2,3709639.0,91.0,0,0,0,0,544,816,1.13,1.66,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60258-6,192.168.10.20,60258,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15100044,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,250.2,2.78,368293.76,945286.74,3709912.0,52.0,15099854.0,943740.88,1347204.73,3720391.0,331.0,15099895.0,629162.29,1175912.5,3709912.0,52.0,0,0,0,0,544,816,1.13,1.66,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60252-6,192.168.10.20,60252,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15112628,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,249.99,2.78,368600.68,945343.53,3710264.0,72.0,15112389.0,944524.31,1345210.9,3719686.0,300.0,15112371.0,629682.12,1175871.9,3710264.0,116.0,0,0,0,0,544,816,1.12,1.65,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60256-6,192.168.10.20,60256,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15121850,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,249.84,2.78,368825.61,945187.91,3709853.0,82.0,15121559.0,945097.44,1347097.82,3719254.0,255.0,15121633.0,630068.04,1175564.56,3709853.0,199.0,0,0,0,0,544,816,1.12,1.65,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60264-6,192.168.10.20,60264,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15120368,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,249.86,2.78,368789.46,945367.23,3711069.0,66.0,15120119.0,945007.44,1347234.2,3720459.0,296.0,15120186.0,630007.75,1175828.67,3711069.0,121.0,0,0,0,0,544,816,1.12,1.65,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
192.168.10.10-192.168.10.20-22-60272-6,192.168.10.20,60272,192.168.10.10,22,6,24/05/2022 07:25:48 AM,15116242,17,25,1686.0,2092.0,976.0,0.0,99.18,228.87,1080.0,0.0,83.68,232.86,249.93,2.78,368688.83,945391.49,3710183.0,46.0,15115961.0,944747.56,1345883.63,3719027.0,270.0,15116088.0,629837.0,1175901.65,3710183.0,144.0,0,0,0,0,544,816,1.12,1.65,0.0,1080.0,87.86,226.24,51185.22,0,1,0,0,0,0,0,0,1.0,89.95,99.18,83.68,0,0,0,0,0,0,17,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
