Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_result
16,192.168.10.20,54298,192.168.10.10,22,6,2,20433762,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,184,2,475203.76744186046,1220501.157419319,3710661.0,0.0,20433362.0,1135186.7777777778,1699474.2648893287,3711107.0,1.0,20433413.0,851392.2083333335,1544661.5371334231,3710661.0,176.0,0,0,0,0,608,816,0.92983367428866,1.2234653609061317,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
17,192.168.10.20,54300,192.168.10.10,22,6,13,22299605,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,169,1,518595.46511627897,1300408.331931173,3710555.0,69.0,22299045.0,1238835.833333333,1799176.5719927757,3714108.0,69.0,22299266.0,929136.0833333336,1640122.2444657544,3710555.0,206.0,0,0,0,0,608,816,0.8520330292845995,1.1210960911639467,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
18,192.168.10.20,54302,192.168.10.10,22,6,13,22304353,19,25,1686.0,2092.0,976.0,0.0,88.7368421052632,218.0307934686859,1080.0,0.0,83.67999999999998,232.8602442095544,169,1,518705.88372093026,1300251.963585377,3710078.0,85.0,22303889.0,1239104.9444444443,1798063.272504498,3710556.0,130.0,22304076.0,929336.5,1639842.6291174889,3710078.0,249.0,0,0,0,0,608,816,0.8518516542488366,1.1208574398011009,0.0,1080.0,83.95555555555555,221.79699517961706,49193.907070707064,0,1,0,0,0,0,0,0,1.0,85.86363636363636,88.73684210526315,83.68,0,0,0,0,0,19,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
19,192.168.10.20,54304,192.168.10.10,22,6,13,22310135,17,24,1686.0,2092.0,976.0,0.0,99.17647058823529,228.86574538747536,1080.0,0.0,87.16666666666666,237.2010093582649,169,1,557753.3750000001,1338014.7292684093,3710547.0,108.0,22309747.0,1394359.1875,1853028.1650159275,3710932.0,153.0,22309878.0,969994.6956521737,1660013.4385223137,3710547.0,271.0,0,0,0,0,544,784,0.7619855281019142,1.0757442749674084,0.0,1080.0,89.95238095238096,228.5626297667668,52240.875725900114,0,1,0,0,0,0,0,0,1.0,92.14634146341464,99.17647058823529,87.16666666666669,0,0,0,0,0,17,1686,24,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
20,192.168.10.20,54306,192.168.10.10,22,6,13,22291750,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,169,1,530755.9523809524,1313664.871007135,3710555.0,0.0,22291526.0,1311266.2352941176,1826496.041118469,3711180.0,179.0,22291538.0,928814.0833333331,1640269.3049229798,3710555.0,0.0,0,0,0,0,576,816,0.8074736169210582,1.1214911346125809,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
26,192.168.10.20,54318,192.168.10.10,22,6,16,16725879,18,25,1686.0,2092.0,976.0,0.0,93.66666666666664,223.25954297501315,1080.0,0.0,83.67999999999998,232.8602442095544,225,2,398235.2142857143,1047146.620234606,3709930.0,0.0,16725529.0,983854.6470588236,1483332.265675999,3713677.0,0.0,16722076.0,696753.1666666665,1318213.8756592495,3709930.0,41.0,0,0,0,0,576,816,1.0761766242599269,1.494689755916565,0.0,1080.0,85.86363636363636,223.9872910544506,50170.30655391119,0,1,0,0,0,0,0,0,1.0,87.86046511627907,93.66666666666669,83.68,0,0,0,0,0,18,1686,25,2092,-1,502,12,0,0,0,0,0,0,0,0,0,0
24,192.168.10.20,54314,192.168.10.10,22,6,15,18577068,17,23,1686.0,2008.0,976.0,0.0,99.17647058823529,228.86574538747533,1080.0,0.0,87.30434782608694,242.5310542033007,198,2,476335.0769230769,1252998.0310680836,3710725.0,0.0,18576471.0,1161029.4375,1775215.5121844397,3711015.0,124.0,18577068.0,844412.1818181819,1585986.153425764,3710725.0,279.0,0,0,0,0,544,752,0.9151067326663174,1.2380855794897234,0.0,1080.0,90.09756097560977,231.4000653498231,53545.990243902415,0,1,0,0,0,0,0,0,1.0,92.35,99.17647058823529,87.30434782608695,0,0,0,0,0,17,1686,23,2008,-1,502,12,0,0,0,0,0,0,0,0,0,0
35,192.168.10.20,54336,192.168.10.10,22,6,20,9303124,15,20,1518.0,1904.0,976.0,0.0,101.2,244.59155457911567,1080.0,0.0,95.19999999999996,259.828607476463,367,3,273621.29411764705,928080.5197464387,3709998.0,0.0,9302684.0,664477.4285714285,1381619.0205625102,3712868.0,178.0,9303124.0,489638.10526315786,1211389.8072927042,3709998.0,141.0,0,0,0,0,480,656,1.6123616110029275,2.1498154813372365,0.0,1080.0,95.05555555555556,246.6842915196257,60853.13968253966,0,1,0,0,0,0,0,0,1.0,97.77142857142857,101.2,95.2,0,0,0,0,0,15,1518,20,1904,-1,502,10,0,0,0,0,0,0,0,0,0,0
25,192.168.10.20,54316,192.168.10.10,22,6,15,18579964,16,24,1686.0,2008.0,976.0,0.0,105.375,234.893131728736,1080.0,0.0,83.66666666666666,237.8685546165409,198,2,476409.33333333326,1256283.2384045098,3710694.0,47.0,18579376.0,1238625.066666667,1809327.8569091603,3711275.0,271.0,18579964.0,807824.5217391305,1564023.4900464213,3710694.0,176.0,0,0,0,0,512,784,0.8611426803625669,1.2917140205438504,0.0,1080.0,90.09756097560977,231.4000653498231,53545.990243902415,0,1,0,0,0,0,0,0,1.0,92.35,105.375,83.66666666666667,0,0,0,0,0,16,1686,24,2008,-1,502,12,0,0,0,0,0,0,0,0,0,0
36,192.168.10.20,54338,192.168.10.10,22,6,22,7459657,16,20,1518.0,1904.0,976.0,0.0,94.875,237.64844483676575,1080.0,0.0,95.19999999999996,259.828607476463,458,4,213133.0571428571,750571.1792143189,3722608.0,0.0,7459164.0,497277.6,1103349.0513854236,3723257.0,170.0,7459657.0,392613.52631578955,994855.65761758,3722608.0,146.0,0,0,0,0,512,656,2.1448707360137336,2.681088420017167,0.0,1080.0,92.4864864864865,243.73546926735747,59406.97897897897,0,1,0,0,0,0,0,0,1.0,95.05555555555556,94.875,95.2,0,0,0,0,0,16,1518,20,1904,-1,502,10,0,0,0,0,0,0,0,0,0,0
